pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
7.45,9.5,1700,18.8,1
7.6,10.5,1600,21.5,0
7.5,11.1,2200,21.5,0
7.6,10.6,1680,18.4,0
7.37,9.5,1150,15.9,1
7.6,8.5,2650,9.9,1
7.46,8.9,3250,10.7,1
7.4,7.62,540,12.9,1
7.53,9.9,650,14.2,1
7.5,8.49,590,16.1,1
7.4,7.3,2200,17,1
7.7,6.5,640,22.2,1
7.58,10.3,625,24.3,0
7.6,6.8,530,23.7,1
7.6,8.8,385,19.2,1
7.4,9.8,830,9.9,1
7.78,9.9,900,16.4,1
7.7,8.9,1100,17.1,1
7.7,9.1,1000,17.2,1
7.7,8.4,1000,19.3,1
7.35,9.1,900,20.6,1
7.5,12.54,1050,22.6,0
7.82,10.1,770,21.8,0
8.2,11.1,600,15.6,0
7.9,10.3,560,9.2,0
8.8,10.8,300,9.2,0
7.49,10.1,430,11.9,0
7.9,11.7,490,12.1,0
7.9,10.1,1225,16.6,0
8.2,9.6,369,17.2,0
7.87,9.5,675,23.8,1
7.5,9.6,1100,21.2,1
7.5,10.3,1850,18.4,0
7.7,10.1,1700,13.9,0
7.47,9.5,700,10.7,1
7.5,9.8,540,12.7,1
7.7,9.6,580,11.5,1
7.7,9.5,450,14,1
7.8,9.3,495,15.5,1
7.9,9.1,400,19.7,1
7.7,8.1,245,22.3,1
8,9.4,255,23.6,1
7.9,8.5,425,23.6,1
8,8.2,450,20.3,1
8.1,7.2,400,19.4,0
7.8,9.3,355,14.1,1
7.7,10.1,400,9.7,0
8,10.3,400,8.8,0
8.4,9.8,620,11.7,0
7.5,10.8,670,16.9,0
7.6,9.4,715,16.1,1
8,10.2,710,17.7,0
8.2,8.4,610,17.8,0
8.2,8.8,500,17.8,0
8.9,9.7,328,23.7,0
7.8,9.3,415,23.3,1
7.9,8.9,500,23.7,1
7.5,9.9,430,21.9,1
7.6,8.8,317,16.2,1
8.2,10.7,340,13.9,0
7.5,8.1,395,11.3,1
7.6,9.1,443,8.9,1
8.9,9.8,543,12.1,0
7.8,9.2,365,16.4,1
7.8,8.1,363,14.7,1
7.7,10.3,360,18.4,0
7.8,10.1,243,21.3,0
7.9,9.9,225,25.3,1
7.5,6.4,330,24.4,1
7.5,8.1,280,21.2,1
7.9,9.8,353,18.6,1
7.7,9.8,315,14.4,1
7.6,7.4,420,10.4,1
8.1,8.2,420,10.3,0
7.9,6.5,415,11.9,1
9.2,8.5,475,12.1,0
8,8.3,415,15.8,1
7.9,9.6,400,19.8,1
7.9,8.4,400,21.1,1
7.7,8.8,480,21.6,1
8,6.8,480,23,1
7.8,7.1,340,23.7,1
7.6,7.8,210,24,1
7.8,6.3,210,24.2,1
7.6,7.5,215,26.7,1
7.5,8.1,430,22.5,1
7.5,7.9,440,20.4,1
7.5,7.7,560,18.7,1
8.2,7.1,360,16.4,0
7.8,7.3,325,13.5,1
7.7,7.9,470,14,1
7.8,8.3,660,13.2,1
8.1,8.6,750,8.6,0
8.2,8.1,600,8.3,0
8.6,7.5,770,5.8,0
7.8,8.1,740,12.3,1
8.2,7.6,480,15.9,0
7.9,8.3,270,14.5,1
8.1,8.2,430,17.1,0
8.1,7,495,21.6,0
7.6,7.7,400,22.7,1
7.6,7.6,265,23.8,1
7.7,8.7,285,23.5,1
7.6,9.1,380,21,1
7.8,8.2,420,22.9,1
8.2,8.9,480,20,0
8.2,7.9,370,17.7,0
7.6,7.5,340,16,1
7.9,7.5,320,17.7,1
7.9,7.1,200,9.6,1
7.8,7.6,175,10.9,1
7.7,7.7,285,15.1,1
7.9,9.3,255,16.4,1
8,5.3,250,21.7,1
7.8,5.3,395,21,1
8.2,7,425,25.1,0
8.7,8.4,440,22,0
8.2,8.4,340,21.7,0
9.4,11.3,398,21.7,0
7.7,6.4,385,16.2,1
7.7,9.8,370,9.4,1
7.9,11.2,385,9.8,0
8.1,6.2,380,9.5,0
8,4.1,320,14.9,0
8.2,7.6,340,14.5,0
7.8,7.6,260,21.3,1
7.9,8.8,255,21.3,1
8.7,12.7,560,20.3,0
8,12.2,610,24.9,0
8,10.2,480,24.6,0
8.1,10.7,625,21.6,0
8,8.6,520,22.2,1
7.8,7.9,320,17.5,1
7.7,9.4,410,18,1
7.7,9.1,480,13.6,1
7.7,10.7,450,9.5,0
8.2,11.2,380,9.4,0
7.3,10,360,9.7,1
8,6.8,400,13.7,1
7.9,7.3,450,14.2,1
8.1,9.9,440,13.8,0
8.2,10.1,360,14.5,0
8.6,8.2,345,17.3,0
8.5,8.2,370,17.2,0
8.4,8.5,235,16.3,0
8.4,7.9,225,7.6,0
8.4,2,325,21.1,0
8.7,1.5,205,19.7,0
8.5,8.3,320,23.5,0
8.5,9.2,318,23.2,0
8.5,8.3,390,22.4,0
8.4,11.3,445,21.9,0
8.4,14.2,460,21.5,0
8.6,11.9,420,21.9,0
8.5,9.5,280,20.2,0
8.7,8.5,420,17.5,0
8.5,7.8,450,15.1,0
8.6,6.8,460,12.5,0
8.8,8.6,400,11.7,0
8.6,7.8,360,9.3,0
8.6,9.8,400,9.5,0
8.6,10.2,650,11.7,0
8.4,9.9,695,11.3,0
8,8.5,620,13.8,1
8.3,8.8,700,14.8,0
8.6,7.3,700,17.8,0
8.7,8.3,540,17.2,0
8.5,8.8,600,18.2,0
8.8,9.6,485,14.8,0
8.7,10.5,775,17.9,0
8.6,9.5,355,21.7,0
8.7,10.4,475,25.84,0
8.6,10.4,480,24.6,0
7.3,8.5,450,24.7,1
8.6,8.5,320,23.8,0
8.4,9,340,25.63,0
8.7,9.2,430,23.5,0
8.6,9.1,450,20.68,0
8.6,13.8,440,20.2,0
8.8,13,360,14.56,0
8.5,11.5,360,13.3,0
8.6,12,370,9.39,0
8.5,9.7,430,8.5,0
7.1,10.6,265,10.32,0
7.5,11.8,345,8.1,0
7.2,1.9,290,12,0
7,11.2,360,11.2,0
8.4,1,325,13,0
8.6,10.9,495,13.8,0
8.6,9.9,535,16.6,0
9,10.2,500,17.1,0
8.9,9.8,400,22.06,0
8.6,10,215,20.9,0
8.2,9.6,175,19.5,0
8.2,10.4,150,23.7,0
8.2,11.3,181,25.1,0
8.9,10.6,190,22.7,0
8.8,8.7,320,25.93,0
8.9,9,590,22.4,0
8.6,11.5,575,25.6,0
8.6,20,500,19.9,0
8.8,13.5,430,23.1,0
8.3,11.4,675,20.2,0
7.7,11.8,280,19.7,0
8.9,11.4,300,13.6,0
9.1,9.5,480,14.54,0
8.9,8.2,420,12.8,0
9,8.1,340,6.3,0
8.8,8.6,310,10.8,0
8.9,8.2,650,16.6,0
8.8,8.5,620,15.4,0
7.7,8.4,670,19.7,1
8.8,7.1,700,19.8,0
7.6,7.7,600,22.3,1
8.8,7.1,775,23.5,0
8.6,8,310,20.1,0
8.7,16.2,480,18.2,0
8.5,8.8,450,13.8,0
8.7,11.9,420,7.8,0
8.6,11.8,300,10.4,0
8.1,8.6,350,13.3,0
7.9,9,600,15.6,1
8.4,8.7,370,20.3,0
8.8,6.7,575,17.7,0
8.1,6.9,520,18.6,0
9.1,6.7,360,24.3,0
9,9,270,22.6,0
9.4,9.5,390,23.7,0
8.9,13,240,20.9,0
9.1,12.2,260,14.7,0
8.9,12.5,410,11.7,0
8.8,10,450,10.1,0
8.5,10.8,335,13.7,0
8.7,10.2,440,18.7,0
8.8,6.7,430,16.9,0
8.6,9.6,420,16.4,0
8.5,11.2,610,22.1,0
8.6,14.6,440,21.1,0
8.5,13.6,500,24.2,0
8.3,9.4,475,24.4,0
8.4,9,500,20.5,0
8.2,7.9,450,10.2,0
8.7,9.6,425,11.5,0
8.4,9.2,390,15.2,0
8.5,9.8,400,14.7,0
8.7,9,385,18.8,0
8.3,10.2,370,20.9,0
8,11.3,370,20.8,0
7.7,11.9,380,20.5,0
7.2,10.8,380,22.1,0
7.4,11,405,24.4,0
7.1,9,430,22.8,1
8.6,8.6,400,18.2,0
7,8.4,390,17.1,1
6.9,9.4,400,9.7,1
6.5,7.6,390,9.8,1
6.5,9.1,395,13.3,1
6.5,9.6,380,16.9,1
6.6,10,390,16.9,1
6.5,11,390,16.3,0
7.9,10.2,390,16,0
7.4,9.1,400,26.3,1
7.5,7,400,24.2,1
7.5,8.4,410,21.9,1
8.7,3.9,390,21.2,0
9,8.4,430,17.1,0
8.1,8.3,400,16,0
8.4,8.3,405,9.4,0
8.3,8.8,400,10.9,0
8.3,8.4,390,11,0
8.3,8.4,415,13.4,0
8.6,11.2,400,16.4,0
8.1,12.8,425,18.1,0
8.2,9,410,20.6,0
8.1,9.3,410,24.6,0
8.7,8.1,400,22.4,0
8.5,8,400,19.9,0
9,6.2,400,17.6,0
8.6,9.8,420,12.7,0
7.6,10.5,440,11.6,0
8.3,10,450,9.9,0
8.3,9.8,450,10.2,0
7.8,11.7,450,13.5,0
8,12.2,450,15.7,0
8.1,14.4,440,18.4,0
8.3,13.2,445,23.5,0
8.5,9.6,500,23.4,0
8.3,10.4,450,23.3,0
7.9,8.4,450,21.9,1
7.9,8.6,460,21.4,1
8.4,8,460,16.1,0
7.8,8,460,11.2,1
8.5,8.6,450,10,0
8.4,8.5,450,12.8,0
8.2,11.6,460,12.9,0
8.1,11,400,24.9,0
8,9.6,450,21.4,1
8,9.1,510,13.3,1
8.5,10,450,10.4,0
8.4,11.2,450,11.4,0
8.6,8.9,430,16.8,0
8.5,8.1,450,19.6,0
8.2,7.3,430,21.1,0
8.1,8.6,460,23.1,0
8.3,7.7,460,22.5,0
8.4,7.5,460,24.1,0
8.6,9.3,455,15.1,0
8.2,11.5,430,15.1,0
7.8,12.2,460,11.4,0
8,12.7,90,14.5,0
7.9,12.7,75,18,0
8.1,12.3,59,15.5,0
8.3,11.4,75,13,0
8.6,7.2,81,16,0
8.6,10.5,81,13.3,0
8.8,3.4,78,12.7,0
8.6,7.3,83,11.6,0
8.5,0.4,83,15.3,0
8.5,8.5,83,12.9,0
8.6,2.1,89,14.1,0
8.2,7.7,89,13.9,0
8.2,1,87,14.1,0
8.5,8.8,89,13.5,0
8.2,1.2,90,10,0
8.4,8,87,10,0
8.6,0.6,92,11.1,0
9.2,9.8,95,14.4,0
8.6,10.5,95,14.4,0
8.4,11.8,78,16.7,0
8.8,11.8,90,18.3,0
8.4,11.1,70,18.9,0
8.3,11.7,54,23.3,0
7.8,11.3,48,20.6,0
8.1,9.6,78,13.9,0
8.8,10.1,73,9.4,0
8.6,9.6,65,11.9,0
8.3,12.8,82,15,0
8.3,12,86,17.2,0
8.2,10,78,22.8,0
9,9.9,89,21.1,0
8,9.1,90,13.6,1
8.8,7.4,89,9.4,0
7.6,8,90,11.7,1
8.6,3,91,11.7,0
7.6,8,94,10.6,1
8.5,8.4,93,10,0
8.3,8.4,80,11.1,0
8.5,1.4,75,18.3,0
7.3,1.4,120,22.8,0
8.6,7.9,110,22.8,0
7.5,7.9,63,21.9,1
8.2,1.6,110,21.1,0
7.6,1.6,120,21.1,0
8.2,9.7,112,10.6,0
8.1,9.7,112,10.6,0
8.1,7.6,114,20.6,0
8.2,7.6,113,17.2,0
8.7,11.4,114,12.2,0
8.7,9.8,120,9.4,0
8.8,10.1,120,11.7,0
8.7,10.3,120,12.8,0
8.8,8.4,118,17.8,0
8.2,8.3,121,22.8,0
8.8,9,125,23.9,0
8.2,8.8,125,22.2,0
8.6,9,123,16.4,0
8.1,8.7,131,11.4,0
8.5,8.5,131,8.3,0
7.6,8.5,131,13.5,1
8.7,8.3,131,15.5,0
7.6,8.5,131,22.2,1
8.6,1,133,23.9,0
7.2,7.3,138,22.8,1
8.4,0.5,142,19.4,0
8.4,7.7,148,12,0
7.6,0.5,125,9,0
7.6,7.4,125,11,1
8.3,5.4,125,15.5,0
8.3,8.9,125,22,0
7.6,8.6,125,17.5,1
7.6,9.3,125,24,1
8.4,9.2,125,22.5,0
8.4,7.5,130,20,0
8.1,7,132,17,0
8.1,11.5,135,11,0
7.9,4.3,140,14,0
8.1,13.4,110,16.5,0
8.5,11.3,75,16,0
8.5,10.4,63,23.5,0
8.2,11,85,24,0
8.4,10.4,110,23,0
8.6,8.9,110,24,0
8.2,8.5,112,14.5,0
8.6,12.6,114,23,0
9,7.8,113,15,0
8.1,7.8,115,23,0
8.8,7.2,120,21.2,0
7.8,5.2,120,20.5,1
9,7.4,115,19.5,0
8,7.9,121,19.5,1
8.9,6.9,123,16,0
8,9.5,121,11.5,1
8.7,13,126,11,0
7.8,9.6,128,11,1
8.3,9.2,125,11,0
7.6,8,125,10.5,1
8.4,9.7,115,13,0
8.3,9,75,13,0
8.6,8.2,61,14,0
8.4,7.5,95,12,0
8.4,7.5,100,17.5,0
8.4,7.4,110,16,0
8.7,8.9,112,19,0
8.7,8.7,116,21,0
9.4,8.1,118,26.5,0
9.3,7.2,119,21.5,0
9.2,9.2,120,21.5,0
8.9,8.5,120,21.5,0
9.1,8.3,125,20,0
7.8,8.6,121,19,1
8.7,8,125,13,0
8.6,8.4,124,9,0
8.8,8.4,128,8.5,0
8.4,8.2,124,12,0
8.7,9.1,125,14.5,0
8.8,8.3,79,22.8,0
7.4,7.7,78,25.5,1
8.5,8.2,79,23.3,0
7.9,8.2,80,21.5,1
7.8,8.2,79,16,1
7.8,8.2,82,12.5,1
9.6,8.2,83,8.5,0
8.4,8.2,103,12.5,0
8.5,8.1,78,14.5,0
8.6,8.1,90,18.5,0
8,8.1,84,17.5,1
9.3,8.3,84,21,0
9.4,8.3,88,22,0
9.4,4.9,89,21,0
9.7,2.5,102,17,0
10,8.5,90,12,0
8.7,8.1,80,12,0
8.8,8.1,97,11,0
9.1,11.6,85,13.5,0
9.2,11.84,85,16,0
8.9,11.58,86,19,0
8.9,12.6,86,20.5,0
9.4,11,90,22.2,0
8.6,9,85,22.5,0
7.7,9,86,20,1
7.7,10,86,16.5,1
7.7,9.8,99,13,1
7.7,9.1,86,9.5,1
7.7,8.4,95,12.5,1
7.7,8.4,89,13,1
8.2,8.4,89,13.5,0
8.2,8.5,89,21,0
8.2,7.7,90,23.5,0
8.8,9.2,102,22.5,0
8.8,10.6,110,21.5,0
8.7,9.5,190,19,0
8.6,8.3,89,12,0
8.8,9.2,190,10,0
8.6,9.1,93,10,0
8.6,11.1,92,13,0
8.5,9.6,93,13.2,0
8.36,8.9,93,15,0
8.52,9.5,94,22,0
8.7,9.5,93,22,0
8.9,9.5,95,24,0
9.1,7.7,120,12.5,0
9.1,5.1,155,23.5,0
9.9,3.3,190,23.5,0
10.1,7.7,195,20,0
10.1,7.3,95,15.5,0
10.1,7.4,96,13,0
10,7.4,96,11,0
9.8,7.4,95,12,0
9.7,7.4,98,16,0
10.1,7.4,98,17.5,0
10.1,7.5,98,23.5,0
10.7,7.8,99,21.5,0
8.2,8.4,99,25,0
8.5,10.4,80,21.3,0
8.9,10.4,82,23.5,0
9.2,9.3,82,19,0
9.5,8.6,78,14,0
9.6,7.8,78,11.5,0
9.6,7.7,78,10,0
9.6,9.7,78,9,0
9.7,8.5,80,11,0
8.2,8.6,80,16.5,0
8.2,12.5,80,16.6,0
8.2,9.8,79,23.2,0
8.2,8.6,82,23,0
8.2,7.2,80,22.5,0
8.2,7,80,21.5,0
8.7,8.2,82,18.4,0
8.1,8.2,84,16,0
8.7,8.2,83,10.3,0
7.9,8.5,83,10.8,1
8.5,14.3,83,11,0
8.4,9.7,83,15.5,0
8.3,7.6,83,14.9,0
8.5,2.9,83,17.8,0
8.5,7.7,100,20.5,0
8.1,8,95,23.2,0
8.1,6.9,97,24.5,0
8.1,7.4,118,23.2,0
8.8,9.3,123,18.5,0
8.2,9.2,87,16.3,0
8.2,9.1,87,11.8,0
7.9,9.1,87,9.4,1
8.6,8,86,11.1,0
8.2,6.7,88,14.8,0
8,7.8,90,14.8,1
8.1,8.2,90,13.9,0
7.7,7.8,92,21.3,1
8.8,8.4,92,14.6,0
7.9,9.1,92,20.7,1
8.8,8.4,79,15.5,0
8.5,9.6,78,22.1,0
8.3,9.2,86,15.5,0
8.2,10.3,89,22,0
8.2,8.5,90,14.1,0
8,7.6,93,23.5,1
8,7.9,79,16.2,1
8.1,8.6,79,21.3,0
8.4,8.1,79,14.9,0
8.3,8.8,79,17.4,0
8.7,8.8,79,13,0
7.9,9.3,82,12.7,1
8.5,9.6,83,12.5,0
8.4,8.3,87,9.3,0
8.4,8.2,85,9.2,0
8.2,8.4,85,9.2,0
7.9,8.7,90,8.1,1
8.1,9.1,90,11.5,0
8.3,8.8,95,9,0
8.2,9.3,97,14.4,0
8.9,8.9,85,11.9,0
8.7,8.1,88,16.4,0
8,9.2,87,14.3,1
7.8,9.3,89,17.4,1
8.2,7.7,95,16.2,0
8.2,7.6,96,21.2,0
7.8,8.3,80,16.4,1
8.1,9.5,78,22.9,0
8.6,9.1,78,16.1,0
8.6,8,80,23.9,0
8.4,10.3,85,16.3,0
7.7,9.8,90,19.7,1
8.4,10.6,77,19.7,0
7.4,10.1,76,15.7,0
8.4,11.1,85,15.7,0
8.3,7.6,95,17.5,0
8.1,9.6,91,17.5,0
8.6,4.6,91,14.5,0
8.5,5.1,77,14.5,0
8.4,8.4,79,12.7,0
8.1,0.7,83,12.7,0
8.4,0.8,83,12.4,0
8.3,7.9,83,12.4,0
8.1,0.5,84,8.8,0
8.1,0.1,85,8.8,0
8.8,7.6,90,8.2,0
8.5,7.4,90,8.1,0
7.8,0.1,95,10.4,0
8.4,8,95,9.6,0
8.9,7.2,77,14.9,0
8.9,9.5,85,10.9,0
8.9,10,87,17.6,0
8.7,9.4,89,12.4,0
8.6,8.3,95,20.1,0
9,8.4,97,14.3,0
8.8,8.6,75,19.4,0
8.8,8,75,13.9,0
8.4,8.6,78,21.5,0
8.8,11,80,14,0
8.9,9.1,85,21.8,0
8.6,8.8,90,14.4,0
8.5,8.04,90,19.1,0
8.4,10.62,80,11.5,0
8.36,5.99,63,13.9,0
6.99,4.52,50,13.5,0
0,9.85,110,11.4,0
7.7,0,90,11.3,0
8,10.4,80,9.5,0
8,8.3,82,9.1,1
7.4,7.1,82,9.5,1
7.1,5.4,83,9,1
7.7,6.4,88,10.7,1
7.7,6.5,89,16.3,1
7.8,6.2,91,18.8,1
8.3,5.8,92,19.1,0
8.4,8,87,21.3,0
7.7,8,92,21,1
7.5,7,95,21.7,1
7.3,8.5,90,20.7,1
7.8,7.2,90,17.2,1
7.8,7.1,90,21.2,1
7.5,7,90,23.2,1
7.9,8.1,90,16.5,1
8.2,11.9,90,14.3,0
7.6,7.9,90,12.4,1
7.7,8.9,90,10.9,1
7.9,9.8,98,14.8,1
7.9,8.2,96,18.5,1
7.4,12,78,19.3,0
7.6,10.4,85,13.7,0
7.9,8.7,85,10.3,1
7.5,7.7,85,16.5,1
7,6.2,85,23.3,1
7.8,7.1,82,23.6,1
7.7,7,85,11,1
7.5,6.5,90,9,1
7.4,8,96,9.6,1
7.2,7,110,11.5,1
7.6,7.7,480,16.9,1
7.6,10.1,470,22.3,0
7.8,8,500,22,1
7.7,8.6,460,21.9,1
7.5,10.3,420,19.9,0
7.7,8.8,320,16.1,1
7.6,7,320,11.3,1
8,7,310,10.1,1
7.6,7.5,360,13.2,1
7.7,7.2,360,16.2,1
7.5,7.4,355,21.8,1
7.8,7.4,440,24.2,1
7.6,7.5,445,24.2,1
7.6,7.7,420,24.2,1
7.5,7.7,420,24.2,1
7.6,8.1,450,24.2,1
7.4,7,500,24.2,1
7.4,1.4,440,22.8,0
7.9,4.1,480,22.8,0
7.9,6.1,440,22.8,1
7.6,7,111,22.6,1
8.5,6,132,22.6,0
8.1,6.3,81,18.7,0
7.8,6.5,101,13.7,1
8.4,8.7,124,13.3,0
7.8,9.6,110,10.9,1
9,9.6,203,10.9,0
7.9,9.8,148,9.1,1
7.4,8.7,118,9.26,1
7.7,7,164,9.13,1
7.8,5.6,131,13.3,1
8.2,8,135,13.7,0
8.4,6.3,117,19,0
8.3,8.3,110,18.7,0
7.5,11.7,105,22.7,0
8.7,9.7,101,22.5,0
8.3,3.5,119,22.4,0
8,4.5,139,21.8,0
7.9,4.5,102,21.8,0
7.7,7,106,21.8,1
7.8,7.6,79,19.7,1
8,4,98,16.8,0
8.3,9,104,10.9,0
8.4,9.8,86,10.6,0
7.6,3.5,77,11.1,0
8.2,8.5,74,23.3,0
7.6,11,81,14.8,0
7.7,5.4,78,10.6,1
8.3,4.7,73,10.5,0
7.6,5.6,90,13.2,1
8,8.5,127,13,1
7.9,6.6,136,12.4,1
7.8,0.13,129,13.2,0
8.2,7.7,135,15.1,0
7.3,7.8,132,18.2,1
7.3,7,89,18.2,1
7.4,6.8,100,18.2,1
8,2.1,94,22.9,0
6.9,2.2,102,20,0
7.7,9.3,121,16.1,1
7.3,7.7,138,22.5,1
8.2,7.3,115,20.6,0
7.6,4.9,132,19.8,0
7.9,3.4,112,19.8,0
7.8,2.4,156,19.8,0
7.3,5.7,127,19.8,1
7.4,5.1,174,19.8,1
7.9,8.8,86,14.7,1
7.8,8.5,88,11.7,1
8,6.5,99,9.8,1
7.8,8.9,87,11.3,1
7.6,7.9,102,16.4,1
8,8.4,142,16.4,1
7.7,7.1,114,22.2,1
8.1,6.8,103,23.1,0
7.8,6.7,102,21.5,1
7.7,7.7,101,15.1,1
7.8,8.4,109,11.7,1
7.5,6.7,129,9.6,1
7.8,7.4,143,14,1
12.9,9.3,143,15.5,0
7.7,9.9,132,21.7,1
8,6.4,107,25,1
8,7.8,106,24.1,1
7.8,5.4,117,20.8,1
8,7.7,117,15.6,1
7.3,4.6,74,11.8,0
7.7,7.1,115,10.7,1
7.3,3.5,131,13.2,0
7.7,2.2,118,14.3,0
7.5,5.8,119,27.6,1
7.6,6.6,171,23.2,1
7.7,7.5,136,21.3,1
7.5,7.4,124,17.9,1
7.8,5.2,148,15.7,1
8.1,7.9,108,11.3,0
8.1,8.1,118,9,0
7.9,7.2,119,10.7,1
8.2,5.4,115,14.6,0
8,5.6,116,15.1,1
8,4.1,127,18.2,0
8.1,7.7,106,22.6,0
8,6.4,120,22.4,1
7.8,7.6,151,22.6,1
8.1,7.2,125,21.4,0
8.1,7.2,117,17.2,0
8.2,5.3,106,9.8,0
8.5,7.1,124,9.8,0
8.4,7,133,13.7,0
8.2,10,149,13.3,0
7.8,13.5,154,20.7,0
8.2,7.7,148,21.5,0
8.3,0.2,119,24.4,0
8.2,1,105,23.5,0
8.6,13.2,125,16.7,0
9.2,7.6,124,11.5,0
8.6,9,134,9.4,0
8.6,2.7,123,14.8,0
8.1,12,118,14.1,0
8.6,9.2,130,20.8,0
8.9,10,141,20.4,0
8.6,9.6,147,22.4,0
7.9,17.4,191,22.8,0
8.6,20,150,22.2,0
8.9,11.8,174,18.2,0
8.4,13,140,14.9,0
8.4,12,143,10.9,0
9.6,10,140,17.5,0
9.2,10.2,135,21.9,0
9.2,8.4,141,16.4,0
8.9,8.3,123,11.1,0
9,8.9,135,22.3,0
8.9,11.6,142,22.3,0
8.7,10.5,147,14,0
8.6,10.4,151,9.8,0
8.9,5.2,183,21.6,0
7.8,11.9,152,23.1,0
7,13.8,135,11.3,0
8.7,10.7,119,10.2,0
8.5,14.2,122,14.5,0
8,11.6,132,12.9,0
8.6,10.6,145,17,0
8.5,11.8,145,12.2,0
8.7,10.7,107,20.2,0
8.5,11,145,13.8,0
8.2,11.1,151,12.3,0
8.5,10.7,146,23.4,0
8.5,10.6,158,12.2,0
8.5,11.3,174,12.5,0
8.1,11.8,156,22.9,0
8.1,12.2,172,18.5,0
8.5,10.9,160,12.3,0
8.6,10.9,165,19.7,0
8.5,11.2,130,19.5,0
8.8,8.5,114,11.8,0
8.7,10.3,126,16.4,0
8.7,11.5,129,11.4,0
8.9,14,121,12.6,0
8.4,7.9,118,15.2,0
8.9,7.1,120,19.2,0
8.5,12.3,121,22.3,0
8.8,12.9,147,23.9,0
8.6,11.2,176,23.8,0
8.7,12.5,150,21.9,0
7.6,8.9,127,10.4,1
7.3,10,122,13.1,1
8.4,11.7,120,14.7,0
8.6,8,111,23.3,0
8.2,9.9,118,21.2,0
8.5,8,101,23.09,0
7.7,7.1,98,14.3,1
7.9,7.9,87,12.04,1
8.1,8.2,66,17.32,0
7.3,9.7,83,0,1
7.4,8.3,70.6,25.7,1
7.7,7.8,75,8.8,1
7.5,8,88.7,18.3,1
7.5,9.2,88.4,25.3,1
7.6,11.7,104,26.3,0
7.3,11.7,98,24.7,0
7.3,10.5,102,25.5,0
7.3,10.4,111,24.4,0
7.5,10.5,117,25.4,0
7.7,11.9,90,25.5,0
7.6,10.1,98,25.3,0
7.6,9.9,132,23.5,1
7.6,8.1,137,23.1,1
7.8,8.2,115,22.7,1
7.8,8,116,22.7,1
8,8,114,21.7,1
7.8,7.9,144,23,1
7.8,7.9,121,19.5,1
7.9,9,127,18.5,1
7.8,9,123,18.4,1
7.8,9,129,18.1,1
8,9,81,13.4,1
8,9,80,10.3,1
8,9.3,120.7,9.4,1
8,9.3,119,5.5,1
8,8.4,109,9.5,1
7.7,8.4,135,19.5,1
7.7,9.5,112.8,22.7,1
8,9.5,100,21.2,1
8.2,8.9,98,24.2,0
8.2,8.9,106,24.5,0
8,8.2,124,22.8,1
8,8.9,133,23.5,1
8.7,8.9,140,22.5,0
8.7,8.6,111,22.3,0
8,8.6,109,21.7,1
8,8.9,106,19.4,1
8,8.3,106,7.8,1
8,8.3,141,6.7,1
8,7.5,133,15.6,1
7.6,7.5,133,17.9,1
7.6,8,113,18.3,1
7.8,8,108,22.4,1
7.5,7.2,140,21.6,1
7.5,7.2,87,24.1,1
7.7,7.4,69.5,22.6,1
7.7,7.4,82,23.3,1
7.8,7.7,108,25.8,1
7.8,7.7,98,21.6,1
7.8,7.6,88,20.6,1
7.8,8.1,78,21.2,1
7.9,8,76,18.4,1
7.9,8.3,96,19.5,1
7.6,7.2,184,26.2,1
7.6,8.3,82,16.9,1
7.7,7.7,76,16.1,1
8,7.4,95,16.7,1
8.3,8.9,87,16.8,0
8,7.7,100,16.9,1
7.9,8.3,102,16.7,1
8,8.5,120,17.5,1
7.8,8.1,139,17.6,1
8,8,126,14.8,1
7.6,8.9,66.7,11.8,1
8.8,8.2,72.3,10.7,0
7.8,9.1,81.1,11.3,1
8,9,234,12.1,1
7.8,15.7,450,22.2,0
8,13.1,380,18.5,0
8,9,380,16.6,1
8,8,470,17.8,1
8,8.8,530,15.9,1
7.7,8.4,540,11.5,1
7.8,8.7,500,12.2,1
8.5,10.8,430,14.9,0
8.6,7,325,17,0
7.3,10.3,480,17.6,0
7.7,8,625,18.1,1
7.7,9.6,670,21,1
7.7,10,430,18.8,1
7.5,12.1,530,9.3,0
8.2,10.1,600,10.4,0
7.7,10.2,460,18.2,0
8.4,10,350,11,0
7.6,8.8,500,10.6,1
7.2,12.4,425,15.5,0
8.5,11.9,400,20.9,0
8.4,9.6,470,21.6,0
8.5,10.7,385,11.5,0
8.7,9,305,22.5,0
7.9,10.2,350,12.5,0
8.8,10.2,300,13.2,0
8.2,10.5,305,10,0
8.2,9.7,370,11.7,0
8.7,10.7,345,14.5,0
8.4,10.1,355,16.6,0
8.1,11.3,360,12.3,0
8.4,12.6,440,13.6,0
8.4,10.1,420,11,0
8.1,9,430,11.9,0
8.4,12.4,430,14.2,0
8.7,10.3,430,16.3,0
8.4,8.2,400,17.5,0
8.3,9.9,410,12.8,0
8.4,11.6,440,14.3,0
8.5,11.7,430,14.7,0
8.7,11.5,420,8.8,0
7.1,7.7,370,9.3,1
7.1,9.7,370,13.5,1
7.5,11.2,300,12.1,0
7.7,12.3,382,13.5,0
9.4,10,380,11.2,0
8.7,10.6,480,11.6,0
8.3,10.3,400,12.3,0
8.7,9.5,350,12.4,0
8.6,7.4,360,14.3,0
7.8,9.3,470,12.4,1
8.5,11.5,480,3.2,0
