pH,DissolvedOxygen,ElectricalConductance,WaterTemperature,Potability
7.8,8.4,480,23,1
7.8,11.9,570,22,0
7.7,8.4,260,24.8,1
7.7,8.1,270,21,1
7.7,7.1,245,22,1
7.8,8.1,425,24.4,1
8,7.3,590,22,1
7.6,7.9,480,19.2,1
8,9.6,350,19.2,1
7.8,9.5,340,20.7,1
7.8,9.5,300,22,1
8.4,8.4,530,19.4,0
7.8,9,580,18.6,1
8.2,9.9,375,17.6,0
7.8,9.3,240,18.3,1
8.1,9.2,440,13.8,0
7.9,11.3,340,13.9,0
8.2,10.1,255,13.9,0
7.6,10.9,360,12.4,0
7.6,13.6,240,17.7,0
8.1,10.9,445,14,0
8,9.7,255,14.1,1
8.6,8.4,450,15,0
8.2,8.8,620,15,0
8.1,6.4,390,10.6,0
7.9,9.5,390,11.7,1
8.4,13.1,576,12,0
8.4,9.4,575,11.7,0
7.9,8.1,576,10.2,1
9.7,8.3,110,10,0
8,8.8,90,15,1
7.3,9.8,90,10.7,1
8.5,8.8,90,10.7,0
7.9,9.2,95,10.7,1
7.5,8.9,80,14.3,1
8,12.2,75,15.7,0
8.1,10.4,90,18.4,0
7.8,10,96,20.7,1
7.7,9.7,81,25.5,1
7.2,8.3,78,23.1,1
7.4,9,80,18.7,1
7.3,9,84,19.6,1
7.5,10.1,96,10.1,0
7.5,8.3,104,6.7,1
7.7,7.5,96,9.6,1
7.7,8.4,100,10.5,1
7.6,8.3,83,14.2,1
7.4,8.1,84,15.2,1
6.6,9.5,78,18.6,1
7.8,8,77,20.2,1
7.1,9.2,89,24.8,1
7.5,10.3,90,21.4,0
7.7,9.7,88,23.1,1
7.2,11.2,88,20.4,0
7.6,9.6,72,11.9,1
7.3,9.3,71,8.5,1
7.3,8.1,76,8.5,1
7.8,10.3,72,13,0
7.8,8.4,76,14,1
7.7,9.5,82,18.2,1
8,8.9,80,17.9,1
7.6,8.4,80,20.6,1
7.5,8.5,70,24.2,1
7.9,8.3,81,21.7,1
7.5,8.3,86,20.1,1
7.1,6.6,87,17.5,1
7.2,8,87,12.2,1
7.2,8,84,7.8,1
7.1,7,88,10.2,1
7.1,7,84,13.5,1
7,7.9,84,13.9,1
7.1,7.6,91,15.9,1
7.4,7.6,70,17.1,1
7.8,8.3,98,20.1,1
7.9,8.6,97,22.5,1
7.3,8.6,94,19.6,1
7.4,9.6,94,21.5,1
7.5,10.2,79,17.4,0
7.2,10.2,84,15,0
7.7,10.1,87,11.1,0
7.3,11,93,7.3,0
7.3,11.2,95,11.8,0
7.3,11.2,94,12.1,0
7.3,11.6,93,12.5,0
7.6,10,83,15.9,1
7.3,10,77,16.7,1
7.5,10.6,100,16.7,0
7.2,9.8,88,18.9,1
7.5,9.8,81,20,1
7.3,10.2,80,21.1,0
7.9,9.3,68,22.6,1
7.6,9.3,87,21,1
7.3,10.9,100,20.5,0
7.8,7.1,96,16.4,1
7.5,7.1,85,18.5,1
7.8,9.2,82,10.7,1
7.3,9.2,79,8.7,1
7.9,6.6,72,10,1
7.3,6.6,79,7.7,1
7.5,8.6,80,11.8,1
7.5,8.1,91,14,1
7.1,8.1,96,13.4,1
7.1,8.7,86,15.1,1
7.3,7.4,79,16.6,1
6.9,7.4,82,19.7,1
7.4,7.8,81,20.5,1
7.7,8.6,84,19.1,1
7.3,8.6,85,23,1
7.4,9.7,86,24.7,1
7.3,9.3,110,22.5,1
8.4,9.3,82,22,0
7.7,11.2,84,22.3,0
7.7,10.5,79,20.5,0
7.5,10.5,82,17.9,0
7.3,10,85,16.5,1
7.6,10,89,13.9,1
7.6,11.9,88,12,0
8,12.1,89,10,0
7.5,11.9,88,8.3,0
7.6,9.5,95,9.5,1
7.4,9.5,87,11.6,1
8.1,10.1,94,12,0
7.6,10.1,83,15.5,0
8.4,9,83,16.5,0
8.1,8.7,70,15.2,0
7.5,10,77,15,1
8.1,8.6,82,17.2,0
7.7,7.4,83,23,1
7.5,7,82,19.6,1
8.1,7.5,90,19.6,0
7.8,7.5,79,24.5,1
7.4,7.4,80,25.9,1
8,8.4,77,23,1
7.5,7.8,77,23.5,1
7.7,9.2,84,23,1
7.6,7.9,75,24.2,1
7.4,8.8,78,22.5,1
8.3,8.9,74,16.4,0
7.4,9.5,72,16.5,1
7.6,10.3,75,13.2,0
7.8,10.1,70,11.5,0
7.3,10.4,81,11.5,0
7.7,10,90,8.1,1
7.9,9.2,90,6.8,1
7.3,10.5,80,11.1,0
7.8,10.8,87,13.5,0
7.5,8.2,72,13.2,1
7.6,8.4,81,12.5,1
7.3,9.4,75,18.1,1
7.7,9.7,72,17.5,1
7.5,8.9,82,18.7,1
7.8,8.8,82,19.5,1
7.3,8.6,73,23.5,1
8,9.5,80,23.1,1
7.3,6.4,76,23.5,1
7.6,7.9,84,24.5,1
7.9,7.7,86,23.9,1
7.5,7.1,82,20.6,1
7.8,7.9,78,22.5,1
7.4,8.6,79,19.3,1
7.7,8.4,76,22.5,1
7.4,9.7,81,16.9,1
7.3,10.3,85,17,0
8.3,10.6,90,12,0
7.3,10.1,85,10.2,0
7.5,12.6,81,11.5,0
7.3,12,79,6.6,0
8.1,10.5,84,8,0
7.5,10.7,89,12,0
8,10.1,85,11.5,0
8.4,9.7,84,13,0
8.5,8.8,92,16.5,0
7.4,10,78,13.1,1
7.5,9.5,82,17.5,1
7.8,11,75,14.5,0
7.6,8.1,72,15.5,1
8,8.8,84,18.4,1
7.4,8.3,82,19.5,1
8.6,7.9,72,21.6,0
7.2,7.6,88,24,1
8,8.7,78,22.2,1
8.6,7.4,78,24,0
7.4,8,80,23.2,1
7.4,8.4,80,19.6,1
7.8,7.9,79,19.5,1
7.7,8.7,90,18.6,1
8,9.7,90,14,1
7.3,10.8,82,13.9,0
8.4,11.8,72,9,0
8.4,11.8,79,10,0
7.6,14.9,78,5.6,0
7.3,14.9,83,6.5,0
7.3,10.6,83,11.8,0
7.4,10.3,81,11.5,0
7.6,9.5,82,13.7,1
7.3,9.6,85,13,1
7.6,11.7,84,20.5,0
7.6,10.1,86,18.5,0
8.6,10.5,92,19.8,0
7.6,8.6,91,18,1
7.6,10.5,81,21.5,0
7.5,10.2,82,19.8,0
7.6,9.6,72,22.5,1
7.4,9.3,71,24.7,1
7.8,9.3,83,21.9,1
7.3,9.1,82,21.1,1
7.87,8.9,81,21.5,1
7.6,9.1,85,20.9,1
7.7,8.9,78,18.5,1
7.9,8.2,73,19.5,1
7.7,8.5,139.1,17.5,1
7.5,8.8,118.2,14.1,1
7.7,8.8,74.5,11.3,1
7.7,6.7,61.3,5.4,1
7.8,6,68.7,8.2,1
7.8,6,55.1,6.4,1
7.4,8,79.2,6.4,1
7.9,8,72,9.9,1
7.7,7.2,96.6,9.8,1
7.4,7.1,220,11.4,1
8.1,7.9,197,9.9,0
7.6,7.6,230,11.1,1
7.8,7.4,380,12.4,1
8.2,6.7,1190,13.9,0
7.6,8.6,950,12.5,1
7.4,8.7,1000,13.1,1
7.3,8,875,15.2,1
7.6,7.8,770,13.4,1
7.6,7.4,440,14.9,1
6.7,7.4,405,13.2,1
7.6,8.8,460,13.7,1
7.6,8.6,710,14.3,1
7.4,8.6,640,13.7,1
7.8,9.2,610,15,1
7.1,10.7,410,13.7,0
7.2,10.7,735,14.1,0
7.2,10.6,600,13.8,0
7.2,10.6,310,15.5,0
7,11.6,235,13.8,0
7.4,11.4,650,15,0
7.2,11.2,410,13.8,0
7,11.2,310,15.4,0
6.8,12.1,345,17,0
6.7,12,450,18.3,0
7.6,10.5,450,17.3,0
7.5,11.4,530,15.8,0
6.7,10.8,340,16.3,0
7.6,11,400,15.9,0
7.1,10.4,400,16,0
7.5,10,370,17.8,1
7.3,9.3,295,16.6,1
7.6,8.4,250,14.6,1
7.7,7.9,165,19,1
8.2,8.9,300,18.2,0
8,8,245,18.5,1
7.8,8.4,250,17.8,1
7.8,8.4,425,19.1,1
7.5,7.9,415,18,1
8.5,7.4,430,23,0
8.1,8.2,430,21.4,0
7.8,7.8,380,21.4,1
7.7,9.2,315,21.5,1
7.4,9.2,400,22,1
7.7,7.7,390,19.3,1
7.9,8.6,400,21.5,1
7.4,9.7,415,25.1,1
7.2,10,368,25.4,1
7.8,8.6,380,24.5,1
7.5,8.8,330,23.2,1
7.2,8.9,338,22,1
7.7,8.9,740,22.7,1
7.3,10.1,750,22.5,0
7.3,10.3,640,22.5,0
7.6,10.6,420,25.1,0
7,11,434,24.2,0
7.4,12.2,420,21.3,0
7.4,10.7,486,18.4,0
8,12.6,582,18.4,0
7,9.6,540,19.5,1
7.6,9.2,480,20.1,1
8.1,10.1,345,17.8,0
8.3,7.2,337,20.6,0
7.5,8.9,340,19.7,1
8.4,8.5,287,19.7,0
7.9,9.1,290,17.6,1
7.4,8.5,301,14.3,1
7.7,8.2,280,14.3,1
7.7,7.8,340,15,1
8.3,7.4,280,14.5,0
8,7,280,11.7,1
8.1,10.1,270,11.1,0
8.3,7.6,325,11.3,0
8.4,6.6,440,10.1,0
7.4,6.5,500,8,1
7.4,7.5,530,8,1
7.3,7.2,440,6.7,1
7.4,7.8,325,6.7,1
7.8,7.1,325,5.9,1
7.1,8.1,570,12.5,1
8.3,7.8,525,6.9,0
8,8.1,510,8.1,1
6.6,8.2,545,8.4,1
8.1,6.8,545,8.2,0
